ensembl_transcript_id_version,gene_name
ENST00000431849,RSRP1
ENST00000648012,RHD
ENST00000622561,RHD
ENST00000454452,RHD
ENST00000328664,RHD
ENST00000342055,RHD
ENST00000357542,RHD
ENST00000417538,RHD
ENST00000423810,RHD
ENST00000568195,RHD
ENST00000374358,TMEM50A
ENST000002944133,RHCE
ENST00000340849,RHCE
ENST00000349320,RHCE
ENST00000346452,RHCE
ENST00000349438,RHCE
ENST00000413854,RHCE
ENST00000399766,MACO1
ENST00000374343,MACO1
ENST00000374338,LDLRAP1
ENST00000374332,MAN1C1
ENST00000611903,MAN1C1
ENST00000263979,MAN1C1
ENST00000374329,MAN1C1
ENST00000361547,SELENON
ENST00000374315,SELENON
ENST00000354177,SELENON
ENST00000527604,RP1-317E23.6
ENST00000474295,MTFR1L
ENST00000374303,MTFR1L
ENST00000526894,MTFR1L
ENST00000524618,MTFR1L
ENST00000374307,MTFR1L
ENST00000374301,MTFR1L
ENST00000374300,MTFR1L
ENST00000466284,MTFR1L
ENST00000538789,AUNIP
ENST00000374298,AUNIP
ENST00000374296,PAQR7
ENST00000675840,PAQR7
ENST00000426559,STMN1
ENST00000455785,STMN1
ENST00000399728,STMN1
ENST00000357865,STMN1
ENST00000374291,STMN1
ENST00000374282,PAFAH2
ENST00000374284,PAFAH2
ENST00000374280,EXTL1
ENST00000374278,SLC30A2
ENST00000374276,SLC30A2
ENST00000374272,TRIM63
ENST00000619836,PDIK1L
ENST00000374269,PDIK1L
ENST00000374271,PDIK1L
ENST00000374268,FAM110D
ENST00000634842,C1orf232
ENST00000635463,C1orf232
ENST00000448923,ZNF593OS
ENST00000433939,ZNF593OS
ENST00000648649,ZNF593OS
ENST00000374266,ZNF593
ENST00000270812,ZNF593
ENST000003615301,CNKSR1
ENST00000374253,CNKSR1
ENST00000531191,CNKSR1
ENST00000456354,CATSPER4
ENST00000640292,CEP85
ENST00000451429,CEP85
ENST00000252992,CEP85
ENST000002707920,SH3BGRL3
ENST00000319041,SH3BGRL3
ENST000003146751,UBXN11
ENST00000374223,UBXN11
ENST00000357089,UBXN11
ENST00000374221,UBXN11
ENST00000374217,UBXN11
ENST00000374222,UBXN11
ENST00000374213,CD52
ENST00000475866,CRYBG2
ENST000003081820,CRYBG2
ENST00000403843,ZNF683
ENST00000349618,ZNF683
ENST00000436292,ZNF683
ENST00000254231,LIN28A
ENST000003262791,LIN28A
ENST00000427245,DHDDS
ENST000002363422,DHDDS
ENST00000525682,DHDDS
ENST00000526219,DHDDS
ENST00000374185,DHDDS
ENST00000360009,DHDDS
ENST00000361427,HMGN2
ENST00000619352,HMGN2
ENST00000374168,RPS6KA1
ENST00000374166,RPS6KA1
ENST00000526792,RPS6KA1
ENST00000530003,RPS6KA1
ENST00000531382,RPS6KA1
ENST00000430799,ARID1A
ENST000003248563,ARID1A
ENST00000457599,ARID1A
ENST00000374152,ARID1A
ENST00000615191,ARID1A
ENST00000455364,PIGV
ENST00000674335,PIGV
ENST00000674202,PIGV
ENST00000674222,PIGV
ENST00000374145,PIGV
ENST00000431541,PIGV
ENST00000674273,PIGV
ENST00000078527,PIGV
